gene_name;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
S100B;1,27788501894289e-17;0,700052816347265;0,465;0,203;2,30325995814266e-13
GFAP;1,39059883276488e-17;0,998509535567707;0,934;0,858;2,50641533617543e-13
PCP4;1,50002633935295e-17;0,643886681726656;0,594;0,345;2,70364747404976e-13
DCTN2;1,53461085330737e-17;0,471468796941180;0,741;0,493;2,76598260200121e-13
EIF4A1;1,64245539988980e-17;0,408123707809686;0,932;0,855;2,96036161276138e-13
NDUFA13;1,64551459240913e-17;0,405831394924574;0,958;0,872;2,96587550135822e-13
B4GALNT4;1,72491887034853e-17;0,492982038767060;0,694;0,456;3,10899377191620e-13
TMA7;1,82821415143660e-17;0,368411959905440;0,980;0,973;3,29517318654932e-13
DCTN3;1,85557334831610e-17;0,460311237411928;0,703;0,429;3,34448540300494e-13
RUNDC3A;2,32711947858636e-17;0,453820210510544;0,458;0,186;4,19440014820406e-13
MORF4L2;2,36308613812942e-17;0,429438464144702;0,894;0,777;4,25922645536447e-13
TMSB15A;2,45079852535294e-17;0,514920740661322;0,560;0,287;4,41731926209614e-13
PGD;2,45828483233458e-17;0,466290361737059;0,643;0,395;4,43081258179985e-13
SCG3;2,47803935303985e-17;0,466527903355102;0,433;0,169;4,46641812991902e-13
EIF4G2;2,53195000631590e-17;0,380499248057549;0,999;0,990;4,56358669138378e-13
CCND1;2,65159214015321e-17;-0,565623822239549;0,329;0,547;4,77922967341215e-13
HNRNPA2B1;3,60985404873556e-17;0,419635889197008;0,987;0,966;6,50640093744097e-13
PRRC2B;4,13501381500141e-17;0,431549210740509;0,791;0,578;7,45294890015855e-13
CACNA1E;4,21963017816541e-17;0,479344721836892;0,493;0,230;7,60546143312533e-13
SNN;4,68632770386751e-17;0,474684367173101;0,606;0,351;8,44663705345080e-13
SPOCK2;4,70235463710885e-17;0,564443481237855;0,550;0,294;8,47552399792499e-13
PEA15;4,72917171054639e-17;0,499492281363918;0,887;0,686;8,52385909108882e-13
APBA2;4,73319319042616e-17;0,482623395334779;0,620;0,358;8,53110740642411e-13
REEP5;4,76162706991932e-17;0,449388748615475;0,689;0,432;8,58235663082258e-13
APBB1;5,29029688218083e-17;0,463555703519659;0,747;0,503;9,53523110044272e-13
KIAA0408;6,37837431432702e-17;0,496412997612163;0,528;0,270;1,14963818641430e-12
RNF187;6,76327780349381e-17;0,423845151065054;0,861;0,693;1,21901319130172e-12
IGFBPL1;8,89027879463449e-17;0,409181397712055;0,336;0,088;1,60238384994492e-12
FADS2;9,01592042484690e-17;0,466353394021205;0,721;0,503;1,62502949737441e-12
KIF5A;9,41249610535515e-17;0,494954676945087;0,538;0,270;1,69650829802921e-12
HSPA1A;9,70582610315155e-17;-0,250874093844527;0,041;0,193;1,74937809683204e-12
SNHG14;1,01043949026511e-16;0,448476538755086;0,917;0,807;1,82121613725383e-12
LHX5-AS1;1,10422912945593e-16;0,307323681978591;0,199;0,000;1,99026258293137e-12
NDRG4;1,17612473636095e-16;0,521085571730315;0,685;0,456;2,11984722481698e-12
MAST1;1,25556018030134e-16;0,568768569943796;0,525;0,264;2,26302166897513e-12
CLIP3;1,26170776455811e-16;0,474806268753178;0,701;0,480;2,27410207483953e-12
LSM7;1,29784704554544e-16;0,424523084641131;0,865;0,720;2,33923951489109e-12
POU4F1;1,30055379776665e-16;0,352488228375624;0,240;0,024;2,34411816509461e-12
NDUFV1;1,42834009936696e-16;0,400820228822699;0,699;0,416;2,57444019509901e-12
ATP5MC1;1,55170335571481e-16;0,396485784846431;0,699;0,405;2,79679012834037e-12
FOS;1,60494349417936e-16;0,370900265489504;0,239;0,024;2,89275015390887e-12
ATP6V0B;1,61692604576213e-16;0,452737044051798;0,837;0,639;2,91434750488167e-12
CYP51A1;1,86676307899795e-16;0,456579816526378;0,559;0,301;3,36465377358591e-12
RPS10;2,01533764619041e-16;-0,386303085659025;0,977;0,990;3,63244457349359e-12
TSPAN13;2,04532027722403e-16;0,514839554101545;0,492;0,240;3,68648526766860e-12
ATP6AP2;2,07783941037617e-16;0,435333521936098;0,749;0,544;3,74509775326201e-12
HDGFL3;2,13980713179342e-16;0,466042653933794;0,658;0,416;3,85678837434446e-12
TMEFF1;2,44290942082437e-16;0,457340699141666;0,566;0,304;4,40309994009385e-12
MGST3;2,88354451075509e-16;0,385874431018091;0,915;0,780;5,19730062618497e-12
RPL21;3,46863390066884e-16;-0,359031181107548;0,999;0,997;6,25186574256552e-12
VSTM2A;3,47960957015538e-16;0,454129700859478;0,433;0,182;6,27164828924806e-12
DMD;3,51024097397722e-16;-0,526767928088442;0,306;0,534;6,32685833149655e-12
ENHO;3,60465317837575e-16;0,417592039249575;0,530;0,260;6,49702688870446e-12
KIF1B;3,61402391307378e-16;0,465937936285429;0,819;0,605;6,51391670092419e-12
NPDC1;3,96744029634771e-16;0,441251298689913;0,802;0,574;7,15091439013712e-12
HOTAIRM1;4,66115545068662e-16;0,506345761882209;0,633;0,402;8,40126658431757e-12
RNF157;4,76175168047827e-16;0,439316093784199;0,410;0,159;8,58258122889403e-12
COX5A;5,16391630899612e-16;0,444337037307702;0,843;0,716;9,30744275533460e-12
TUBB4A;5,70824051958352e-16;0,515765248737660;0,482;0,226;1,02885327124973e-11
GABBR2;5,82557720211001e-16;0,417637323126553;0,415;0,162;1,05000203490831e-11
VCP;5,90713932572869e-16;0,387104604250036;0,745;0,490;1,06470279206934e-11
ACAP3;6,57419347145949e-16;0,473763303516636;0,554;0,307;1,18493263129586e-11
