gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
BAALC,5.574883943170756e-13,0.4790665091683969,0.523,0.255,1.0026428771792604e-8
HINT1,6.485064843188105e-13,0.33730144970170173,0.992,0.971,1.1663389120473807e-8
SRI,7.046991677335187e-13,0.4477486250817554,0.588,0.322,1.2674014531687333e-8
HAPLN1,7.10132512799423e-13,-0.26104741315206104,0.04,0.178,1.2771733242697622e-8
NCAN,7.426337659947613e-13,0.43876800490534024,0.477,0.212,1.3356268281415783e-8
TMA7,8.165543953242607e-13,0.3512216971323099,0.98,0.986,1.468573079990683e-8
CHCHD2,9.698828515923565e-13,-0.4571344125760756,0.243,0.476,1.744334308588853e-8
TMSB10,9.736768491157723e-13,0.4993435928004075,1,1,1.7511578131347165e-8
GPC1,1.0502971403523282e-12,0.4083469076969972,0.728,0.481,1.8889594069236624e-8
TXN,1.0906160836608133e-12,0.4146761882041463,0.887,0.769,1.9614730264639725e-8
PAFAH1B1,1.1322967351164454e-12,0.4512930087872379,0.776,0.577,2.036435678106927e-8
SFPQ,1.1574519190988028e-12,0.43684404310275204,0.909,0.808,2.081677276499197e-8
HMGCR,1.1645913346740868e-12,0.5535041345981437,0.611,0.404,2.0945175154113452e-8
COL6A1,1.2950679446824548e-12,0.506000747899606,0.826,0.702,2.3291796985113948e-8
ATP2A2,1.31443617050621e-12,0.40022811012589976,0.867,0.707,2.364013452655419e-8
ATP6V0E2,1.343567464441673e-12,0.4947025659247155,0.736,0.524,2.416406084798349e-8
TCEAL7,1.426669918342712e-12,0.43176895334538784,0.47,0.207,2.5658658481393678e-8
MTRNR2L12,1.4829725989323439e-12,-0.7370874660200086,0.627,0.841,2.6671262191798205e-8
GNG2,1.5837486450133207e-12,0.5371657971418631,0.742,0.548,2.8483719380564573e-8
CACNA1E,1.7343108237682919e-12,0.4665528938117002,0.485,0.231,3.119158016547273e-8
MT-ND4L,2.135542169802053e-12,-0.6157775147045395,0.598,0.784,3.840772592388992e-8
NDUFV1,2.340494089420829e-12,0.3700891580085808,0.697,0.399,4.209378619823361e-8
RPAIN,2.394856756350217e-12,0.44545806040321123,0.648,0.404,4.307149876295865e-8
