gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NDUFV2,1.6359880021337842e-17,0.3342850775437931,0.586,0.377,2.948704775045933e-13
APOBEC2,1.78790713558875e-17,0.41906725034009856,0.365,0.182,3.222523821185163e-13
SMPX,1.803264420065055e-17,0.37250797584843687,0.606,0.405,3.250203790725255e-13
NDUFA6,1.888944482709827e-17,0.34122076552647773,0.727,0.554,3.404633535636192e-13
AUTS2,2.125780511947456e-17,0.32137244506436374,0.381,0.185,3.8315067947340944e-13
TOM1L2,2.1719610036284065e-17,0.2949897407732258,0.265,0.095,3.91474251293984e-13
APOC1,2.545386959219041e-17,0.2510959038522059,0.192,0.044,4.587805455296399e-13
TMOD1,2.5544649869743018e-17,0.2937342096688852,0.251,0.085,4.604167692522482e-13
AAMP,2.6216469403861128e-17,0.3539193015914397,0.444,0.244,4.725256445351929e-13
PLXNB2,2.6445548418656314e-17,0.36232067881679275,0.673,0.5,4.766545646978614e-13
MARCKSL1,2.7738123056726037e-17,0.33045241846338747,0.895,0.825,4.999519299744301e-13
CSAD,2.9106851077966224e-17,0.2752429008307191,0.251,0.084,5.246218838292633e-13
PNN,3.3101748231945864e-17,0.35697460309181156,0.448,0.252,5.966259101325922e-13
NENF,3.370044081353264e-17,0.3184700621916338,0.465,0.262,6.074167452231123e-13
KAT2A,3.492930729817974e-17,0.3546763916943861,0.371,0.182,6.295658347423916e-13
VEGFB,3.587737270498284e-17,0.328621679467258,0.489,0.28,6.466537656346107e-13
SYT11,4.188944818185488e-17,0.2537117522987911,0.214,0.059,7.550154140297523e-13
TRDN,5.994632366332107e-17,0.260193179381212,0.272,0.1,1.080472537707699e-12
SGTA,6.019558625105577e-17,0.32570334677911283,0.502,0.297,1.0849652465890291e-12
HSF1,6.650589066404517e-17,0.3490386204885544,0.415,0.225,1.1987021733287502e-12
ACO2,6.727985229029648e-17,0.3195959404877895,0.46,0.251,1.2126520576803038e-12
ENC1,6.983504969884156e-17,0.32587016742504116,0.517,0.305,1.2587069357719202e-12
AGAP3,7.119658736361958e-17,0.3184740001133769,0.412,0.215,1.2832472906418794e-12
BEX2,8.145374652816642e-17,0.2623821623128002,0.318,0.131,1.4681223274236716e-12
TRIM54,8.276624124897551e-17,0.3325164813457119,0.357,0.166,1.4917787322715347e-12
CDK5RAP3,8.99830339021115e-17,0.3745389610018882,0.463,0.269,1.6218542030516577e-12
MAT2A,1.0733218587799752e-16,0.3221964612339109,0.745,0.608,1.934555318265027e-12
ISCU,1.091667827849143e-16,0.29102946838981403,0.528,0.311,1.9676220929152954e-12
HSP90AA1,1.149615005359665e-16,0.3230807853769886,0.849,0.762,2.07206608566026e-12
NCAN,1.1706206546738095e-16,0.2904221476315404,0.201,0.054,2.1099266679840743e-12
DNM3OS,1.2058071589218406e-16,0.3821642168129187,0.448,0.257,2.1733468232407254e-12
PRRC2B,1.2517105133625684e-16,0.3153878162207586,0.608,0.413,2.2560830292846933e-12
OGA,1.2953815132379633e-16,0.3101988414196255,0.617,0.42,2.334795639460105e-12
PITX2,1.3178509410052022e-16,0.300508488864739,0.336,0.152,2.3752945360677766e-12
HM13,1.3242568683642387e-16,0.329858109049648,0.387,0.197,2.3868405795397036e-12
FEZ1,1.367974788218012e-16,0.30315561006045455,0.254,0.09,2.4656377582841447e-12
MB,1.538629695495583e-16,0.283881819104592,0.224,0.067,2.773226163161239e-12
DBI,1.8002278921860988e-16,0.34049605787909276,0.798,0.659,3.2447307528762246e-12
NPEPPS,1.8488005604490141e-16,0.3011067677163045,0.488,0.282,3.332278130153303e-12
USP22,1.909992780151402e-16,0.3167980279847522,0.808,0.692,3.442570986944887e-12
COPS9,2.046335790053676e-16,0.30650309693535793,0.883,0.775,3.688315627992745e-12
PCBD1,2.0940800058013812e-16,0.31318827705906516,0.512,0.307,3.77436980245641e-12
SH3GLB2,2.4492913437986286e-16,0.3305092045803102,0.356,0.172,4.414602718062648e-12
PPP1CA,2.611951279284781e-16,0.33723036992254196,0.593,0.4,4.707780985782889e-12
CACNA2D1,2.6408966552940325e-16,0.33904611005040747,0.338,0.159,4.759952131501964e-12
TMSB10,2.6611255545293497e-16,0.2619121285241519,1,1,4.7964126994837e-12
SRSF11,2.814995898054298e-16,0.3429907155086236,0.541,0.341,5.073748606653067e-12
ASAH1,2.8981462085993365e-16,0.3137604985723024,0.477,0.275,5.223618726379444e-12
