gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MAP7D1,3.9783522620471577e-14,0.41422716610718924,0.547,0.312,7.155066543291813e-10
MATN2,4.285233862848391e-14,0.4785164736837648,0.569,0.359,7.706993102332831e-10
SEPTIN2,4.613016036692324e-14,0.4115719798587052,0.788,0.628,8.296509341991145e-10
NDUFB1,4.634036082644272e-14,0.36774964636161855,0.874,0.748,8.334313894635723e-10
ITIH2,5.382922506093205e-14,0.3365346707001258,0.184,0.01,9.68118612720863e-10
MYL4,5.965209908160987e-14,0.46456421931962844,0.95,0.876,1.0728430019827535e-9
UCHL1,6.147984115505718e-14,0.40372151722124006,0.814,0.691,1.1057149431737034e-9
SVIL,6.624332588940797e-14,0.46022370491077513,0.614,0.406,1.1913862161210024e-9
PPP3CB,7.108368177715893e-14,0.3775154726430443,0.487,0.245,1.2784400167622034e-9
OGT,7.349205279519805e-14,0.4068519180636796,0.664,0.423,1.321754569521637e-9
PABPC1,7.818050161282943e-14,-0.4462149266346911,0.876,0.956,1.4060763215067373e-9
SLN,9.132864379025581e-14,0.6241433733311545,0.544,0.332,1.6425456585677508e-9
ARPP21,9.654876629125793e-14,0.4541729804899022,0.564,0.339,1.736429561748274e-9
NR4A1,1.0398050195478572e-13,0.39101645449693895,0.225,0.037,1.8700893276568213e-9
JAM3,1.1627447961533637e-13,0.40886138820725615,0.621,0.399,2.091196515881825e-9
SDC3,1.225626110104953e-13,0.43220727519697066,0.536,0.312,2.204288559023758e-9
FABP5,1.2291195737009001e-13,0.422687784416432,0.381,0.158,2.2105715533010688e-9
PCBP4,1.2628867829556776e-13,0.40695794748419334,0.548,0.315,2.271301879145786e-9
FHL1,1.281776062340616e-13,0.44506908349457475,0.607,0.386,2.305274248119598e-9
RMST,1.3003868766088786e-13,-0.25585794185279326,0.135,0.326,2.3387457975810682e-09
LTBP4,1.3680172925306645e-13,0.42878108287950556,0.554,0.326,2.4603791006164e-9
FAU,1.455067711573973e-13,0.28421168669299135,1,1,2.6169392792657903e-9
PBXIP1,1.4790772951404534e-13,0.3798124969623047,0.44,0.208,2.6601205153101055e-9
ANAPC5,1.5374442695312215e-13,0.4123263014345415,0.44,0.215,2.765093518751902e-9
NDUFB2,1.5443185395183858e-13,0.3743705755713038,0.885,0.782,2.777456893323817e-9
SFPQ,1.7757529728530125e-13,0.3934242024315595,0.845,0.698,3.1936917216761427e-9
SPG7,1.8259684607274986e-13,0.37348680150541136,0.514,0.272,3.284004276618406e-9
COL4A2,1.8523659291652178e-13,0.4709528902583554,0.679,0.48,3.331480123603644e-9
MPRIP,2.2854246010720944e-13,0.40863639842721233,0.568,0.352,4.110336145028162e-9
AC132217.1,2.28678421914288e-13,-0.4605839741049952,0.481,0.654,4.11278141812847e-9
ATP5MC3,2.891200247699735e-13,0.34952688899068596,0.899,0.839,5.199823645487973e-9
SLIT1,2.927104152597985e-13,0.3542649034575319,0.297,0.091,5.264396818447476e-9
ARGLU1,4.379074761106882e-13,0.4147879855829407,0.651,0.446,7.875765957850728e-9
